2024-02-14 00:10:12 | ::1 | - | GET | /css/login.css | 304 | - | 5.576 ms | http://localhost:3000/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:10:12 | ::1 | - | GET | /js/jquery.min.js | 304 | - | 4.452 ms | http://localhost:3000/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:10:12 | ::1 | - | GET | /js/main.js | 304 | - | 3.967 ms | http://localhost:3000/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:10:12 | ::1 | - | GET | /js/popper.js | 304 | - | 3.278 ms | http://localhost:3000/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:10:12 | ::1 | - | GET | /js/clearInputBoxes.js | 304 | - | 3.147 ms | http://localhost:3000/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:10:12 | ::1 | - | GET | /images/bg.jpg | 304 | - | 0.980 ms | http://localhost:3000/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:10:12 | ::1 | - | GET | /js/account.js | 304 | - | 1.107 ms | http://localhost:3000/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:10:12 | ::1 | - | GET | /js/cookie.js | 304 | - | 0.936 ms | http://localhost:3000/js/account.js | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /css/home.css | 304 | - | 9.480 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /css/loading.css | 304 | - | 10.467 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /css/navbar.css | 304 | - | 10.296 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /css/encrypt.css | 304 | - | 9.853 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /css/modal.css | 304 | - | 7.785 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /css/encryptdownload.css | 304 | - | 6.926 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/cookie_login.js | 304 | - | 2.258 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/home.js | 304 | - | 6.587 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/googlepicker.js | 304 | - | 5.697 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/onedrivepicker.js | 304 | - | 4.696 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /images/account.png | 304 | - | 4.371 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /images/onedrive-1.svg | 304 | - | 2.399 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /images/google-drive.svg | 304 | - | 4.218 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/navbar.js | 304 | - | 4.080 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/toprofilePage.js | 304 | - | 2.941 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
